网络: resnet50, 层数: 0
['DRAM', 'GlobalBuffer', 'InputBuffer', 'WeightBuffer', 'AccumulationBuffer', 'Registers'] [1, 1, 16, 16, 16, 1024, 1024] [inf, 65536, 8192, 32768, 3072, 1]
[1, 16, 1, 1, 64, 1]
100
Generation 127 当前最优解: [-280.]
Generation 128 当前最优解: [-280.]
Generation 129 当前最优解: [-280.]
Generation 130 当前最优解: [-280.]
Generation 131 当前最优解: [-280.]
Generation 132 当前最优解: [-280.]
Generation 133 当前最优解: [-280.]
Generation 134 当前最优解: [-280.]
Generation 135 当前最优解: [-280.]
Generation 136 当前最优解: [-280.]
Generation 137 当前最优解: [-280.]
Generation 138 当前最优解: [-280.]
Generation 139 当前最优解: [-280.]
Generation 140 当前最优解: [-280.]
Generation 141 当前最优解: [-280.]
Generation 142 当前最优解: [-280.]
Generation 143 当前最优解: [-280.]
Generation 144 当前最优解: [-280.]
Generation 145 当前最优解: [-280.]
Generation 146 当前最优解: [-280.]
Generation 147 当前最优解: [-280.]
Generation 148 当前最优解: [-280.]
Generation 149 当前最优解: [-280.]
Generation 150 当前最优解: [-280.]
Generation 151 当前最优解: [-280.]
Generation 152 当前最优解: [-280.]
Generation 153 当前最优解: [-280.]
Generation 154 当前最优解: [-280.]
Generation 155 当前最优解: [-280.]
Generation 156 当前最优解: [-280.]
Generation 157 当前最优解: [-280.]
Generation 158 当前最优解: [-280.]
Generation 159 当前最优解: [-280.]
Generation 160 当前最优解: [-280.]
Generation 161 当前最优解: [-280.]
Generation 162 当前最优解: [-280.]
Generation 163 当前最优解: [-280.]
Generation 164 当前最优解: [-280.]
Generation 165 当前最优解: [-280.]
Generation 166 当前最优解: [-280.]
Generation 167 当前最优解: [-280.]
Generation 168 当前最优解: [-280.]
Generation 169 当前最优解: [-280.]
Generation 170 当前最优解: [-280.]
Generation 171 当前最优解: [-280.]
Generation 172 当前最优解: [-280.]
Generation 173 当前最优解: [-280.]
Generation 174 当前最优解: [-280.]
Generation 175 当前最优解: [-280.]
Generation 176 当前最优解: [-280.]
